model_code|version_name|version_code|spec_category|spec_key|spec_value|spec_unit|source_url
VF 5|||dimension|length_mm|3967|mm|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||dimension|width_mm|1723|mm|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||dimension|height_mm|1578|mm|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||dimension|wheelbase_mm|2514|mm|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||powertrain|range_km|326|km|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||powertrain|power_kw|100|kW|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||powertrain|torque_nm|135|Nm|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||interior|seats|5||https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||powertrain|drive_modes|Eco/Sport||https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||powertrain|battery_type|LFP||https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||powertrain|battery_kwh|37.23|kWh|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||safety|airbags|6||https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||exterior|wheel_size_inch|17|inch|https://vinfast-vn.vn/san-pham/vinfast-vf5/
VF 5|||dimension|ground_clearance_mm|160|mm|https://vinfastev.com.vn/vinfast-vf5/
VF 5|||powertrain|dc_charge_kw|50|kW|https://vinfastev.com.vn/vinfast-vf5/
VF 5|||exterior|headlights|Halogen Tự động bật/tắt||https://vinfastev.com.vn/vinfast-vf5/
VF 5|||exterior|drl|Không||https://vinfastev.com.vn/vinfast-vf5/
VF 5|||exterior|fog_light|Không||https://vinfastev.com.vn/vinfast-vf5/
VF 5|||exterior|mirrors|Chỉnh điện Tích hợp báo rẽ||https://vinfastev.com.vn/vinfast-vf5/
VF 5|||interior|steering_wheel|Loại thông thường. Tích hợp nút bấm điều khiển nhiều tính năng giải trí và ga tự động||https://vinfastev.com.vn/vinfast-vf5/
VF 5|||interior|ac|Chỉnh cơ, 1 vùng||https://vinfastev.com.vn/vinfast-vf5/
VF 5|||safety|brakes|Đĩa thông gió||https://vinfastev.com.vn/vinfast-vf5/
